Model,Size,Actors,Misusers,Use cases,Misuse cases,Include,Extends,Threatens,Mitigates,Total Constructs
Food Delivery,Small,1,1,3,1,1,0,1,1,9
Cloud Storage,Small,1,1,4,1,3,0,1,1,12
Library,Small,1,1,4,2,2,1,1,1,13
Rideshare,Medium,2,2,7,3,3,1,3,3,24
Smart Home,Medium,1,2,7,3,3,1,4,3,24
ATM,Medium,2,2,6,3,6,0,3,3,25
Online Exam,Medium,2,2,7,3,3,1,3,4,25
Online Store,Medium,1,2,7,4,2,0,5,4,25
E-Voting,Medium,2,2,8,3,4,1,3,3,26
Healthcare,Medium,3,2,8,4,4,0,4,5,30
RFID,Large,3,1,12,7,17,0,6,8,54
Swiss Bank,Large,3,2,12,6,19,0,4,8,54
