prompt_num,domain_display,size,antipattern_codes,antipattern_instance_counts,total_antipattern_instances,sample_type,task_mode,actors,use_cases,includes,extends,generalizations,total_parsed
1,Banking System,small,a4,1,1,antipattern,detect,2,6,1,0,0,9
2,Restaurant Management System,medium,a4,3,3,antipattern,detect,4,12,3,1,0,20
4,Hospital Management System,medium,a4,3,3,antipattern,detect,5,13,3,0,0,21
5,Social Media Platform,small,a4,1,1,antipattern,detect,2,5,1,0,0,8
6,Messaging Application,small,a4,1,1,antipattern,detect,2,7,1,0,0,10
8,Flight Booking System,medium,a4,3,3,antipattern,detect,4,12,4,2,0,22
13,Library Management System,medium,a4,3,3,antipattern,detect,3,13,3,1,0,20
14,E-Learning Platform,small,a4,1,1,antipattern,detect,2,5,1,0,0,8
17,Medical Clinic System,medium,a4,3,3,antipattern,detect,4,13,4,0,0,21
18,Pharmacy Management System,medium,a4,3,3,antipattern,detect,3,12,4,0,0,19
19,Car Rental System,medium,a4,3,3,antipattern,detect,3,13,3,1,0,20
20,University Enrollment System,medium,a4,3,3,antipattern,detect,4,14,3,0,0,21
21,Movie Ticket Booking,medium,a4,3,3,antipattern,detect,3,15,3,1,0,22
23,Gym Membership System,medium,a4,3,3,antipattern,detect,4,14,4,1,0,23
25,Insurance Management System,small,a4,1,1,antipattern,detect,2,5,1,0,0,8
26,Payroll Management System,medium,a4,3,3,antipattern,detect,4,13,4,0,0,21
27,Human Resources System,medium,a4,3,3,antipattern,detect,3,14,3,0,0,20
29,Inventory Management System,small,a4,1,1,antipattern,detect,2,6,1,0,0,9
30,Tax Filing System,medium,a4,3,3,antipattern,detect,3,13,3,1,0,20
31,Credit Card Management System,small,a4,1,1,antipattern,detect,2,5,1,0,0,8
34,News Publishing System,small,a4,1,1,antipattern,detect,3,6,1,0,0,10
36,Dating Application,small,a4,1,1,antipattern,detect,2,6,1,0,0,9
38,Telemedicine System,medium,a4,3,3,antipattern,detect,4,13,3,0,0,20
40,Exam Management System,small,a4,1,1,antipattern,detect,2,5,1,0,0,8
41,Courier Delivery System,medium,a4,3,3,antipattern,detect,4,13,3,0,0,20
42,Cloud Storage Service,small,a4,1,1,antipattern,detect,2,5,1,0,0,8
43,Weather Forecasting Service,small,a4,1,1,antipattern,detect,3,7,1,1,0,12
44,Podcast Platform,medium,a4,3,3,antipattern,detect,3,14,3,0,0,20
46,Expense Tracking System,small,a4,1,1,antipattern,detect,2,6,1,0,0,9
47,Freelance Marketplace,medium,a4,3,3,antipattern,detect,3,13,3,0,0,19
49,Supply Chain Management,medium,a4,3,3,antipattern,detect,5,11,3,1,0,20
50,Employee Performance Review System,medium,a4,3,3,antipattern,detect,3,13,3,1,0,20
51,Public Transport System,medium,a4,3,3,antipattern,detect,3,14,3,1,0,21
52,Investment Portfolio System,medium,a4,3,3,antipattern,detect,3,13,3,1,0,20
56,Mental Health Appointment System,medium,a4,3,3,antipattern,detect,3,11,4,0,0,18
57,Student Attendance System,medium,a4,3,3,antipattern,detect,4,14,3,0,0,21
59,Scholarship Application System,small,a4,1,1,antipattern,detect,3,6,1,0,0,10
60,Passport Application System,small,a4,1,1,antipattern,detect,2,7,2,1,0,12
65,Forum and Discussion System,medium,a4,3,3,antipattern,detect,3,14,3,0,0,20
67,Software Bug Tracking System,medium,a4,3,3,antipattern,detect,4,15,3,1,0,23
69,Conference Registration System,small,a4,1,1,antipattern,detect,3,6,1,0,0,10
71,Property Management System,medium,a4,3,3,antipattern,detect,4,13,4,0,0,21
74,Restaurant Reservation System,medium,a4,3,3,antipattern,detect,3,12,3,1,0,19
76,Catering Service System,medium,a4,3,3,antipattern,detect,4,12,3,0,0,19
78,Sports League Management,medium,a4,3,3,antipattern,detect,4,14,3,0,0,21
