prompt_num,domain_display,size,antipattern_codes,antipattern_instance_counts,total_antipattern_instances,sample_type,task_mode,construct_count_reported,actors,use_cases,includes,extends,generalizations,total_parsed,count_matches_reported
1,Banking System,small,a4,1,1,antipattern,detect,13,2,6,1,0,0,9,False
1,Banking System,small,a4,1,1,refactored,detect,11,2,5,0,0,0,7,False
2,Restaurant Management System,medium,a4,3,3,antipattern,detect,24,4,12,3,1,0,20,False
2,Restaurant Management System,medium,a4,3,3,refactored,detect,18,4,9,0,1,0,14,False
3,Online Store,small,a4,1,1,antipattern,detect,13,2,6,1,0,0,9,False
3,Online Store,small,a4,1,1,refactored,detect,11,2,5,0,0,0,7,False
4,Hospital Management System,medium,a4,3,3,antipattern,detect,25,5,13,3,0,0,21,False
4,Hospital Management System,medium,a4,3,3,refactored,detect,19,5,10,0,0,0,15,False
5,Social Media Platform,small,a4,1,1,antipattern,detect,10,2,5,1,0,0,8,False
5,Social Media Platform,small,a4,1,1,refactored,detect,8,2,4,0,0,0,6,False
6,Messaging Application,small,a4,1,1,antipattern,detect,13,2,7,1,0,0,10,False
6,Messaging Application,small,a4,1,1,refactored,detect,11,2,6,0,0,0,8,False
7,Hotel Booking System,medium,a4,3,3,antipattern,detect,26,3,13,3,1,0,20,False
7,Hotel Booking System,medium,a4,3,3,refactored,detect,20,3,10,0,1,0,14,False
8,Flight Booking System,medium,a4,3,3,antipattern,detect,27,4,12,4,2,0,22,False
8,Flight Booking System,medium,a4,3,3,refactored,detect,21,4,9,1,2,0,16,False
9,Food Delivery Platform,small,a4,1,1,antipattern,detect,12,3,6,1,0,0,10,False
9,Food Delivery Platform,small,a4,1,1,refactored,detect,10,3,5,0,0,0,8,False
10,Ride Sharing Service,small,a4,1,1,antipattern,detect,10,2,6,1,0,0,9,False
10,Ride Sharing Service,small,a4,1,1,refactored,detect,8,2,5,0,0,0,7,False
11,Music Streaming Platform,small,a4,1,1,antipattern,detect,11,2,5,1,0,0,8,False
11,Music Streaming Platform,small,a4,1,1,refactored,detect,9,2,4,0,0,0,6,False
12,Video Streaming Platform,medium,a4,3,3,antipattern,detect,27,3,13,3,0,0,19,False
12,Video Streaming Platform,medium,a4,3,3,refactored,detect,21,3,10,0,0,0,13,False
13,Library Management System,medium,a4,3,3,antipattern,detect,26,3,13,3,1,0,20,False
13,Library Management System,medium,a4,3,3,refactored,detect,20,3,10,0,1,0,14,False
14,E-Learning Platform,small,a4,1,1,antipattern,detect,9,2,5,1,0,0,8,False
14,E-Learning Platform,small,a4,1,1,refactored,detect,9,2,5,0,0,0,7,False
15,Job Portal,small,a4,1,1,antipattern,detect,13,3,7,1,0,0,11,False
15,Job Portal,small,a4,1,1,refactored,detect,11,3,6,0,0,0,9,False
16,Grocery Delivery Service,small,a4,1,1,antipattern,detect,13,3,6,1,0,0,10,False
16,Grocery Delivery Service,small,a4,1,1,refactored,detect,11,3,5,0,0,0,8,False
17,Medical Clinic System,medium,a4,3,3,antipattern,detect,24,4,13,4,0,0,21,False
17,Medical Clinic System,medium,a4,3,3,refactored,detect,18,4,10,1,0,0,15,False
18,Pharmacy Management System,medium,a4,3,3,antipattern,detect,25,3,12,4,0,0,19,False
18,Pharmacy Management System,medium,a4,3,3,refactored,detect,19,3,9,1,0,0,13,False
19,Car Rental System,medium,a4,3,3,antipattern,detect,25,3,13,3,1,0,20,False
19,Car Rental System,medium,a4,3,3,refactored,detect,19,3,10,0,1,0,14,False
20,University Enrollment System,medium,a4,3,3,antipattern,detect,29,4,14,3,0,0,21,False
20,University Enrollment System,medium,a4,3,3,refactored,detect,23,4,11,0,0,0,15,False
21,Movie Ticket Booking,medium,a4,3,3,antipattern,detect,30,3,15,3,1,0,22,False
21,Movie Ticket Booking,medium,a4,3,3,refactored,detect,24,3,12,0,1,0,16,False
22,Online Gaming Platform,small,a4,1,1,antipattern,detect,9,2,5,1,0,0,8,False
22,Online Gaming Platform,small,a4,1,1,refactored,detect,7,2,4,0,0,0,6,False
23,Gym Membership System,medium,a4,3,3,antipattern,detect,30,4,14,4,1,0,23,False
23,Gym Membership System,medium,a4,3,3,refactored,detect,24,4,11,1,1,0,17,False
24,Fitness Tracking App,medium,a4,3,3,antipattern,detect,24,3,13,3,0,0,19,False
24,Fitness Tracking App,medium,a4,3,3,refactored,detect,18,3,10,0,0,0,13,False
25,Insurance Management System,small,a4,1,1,antipattern,detect,9,2,5,1,0,0,8,False
25,Insurance Management System,small,a4,1,1,refactored,detect,7,2,4,0,0,0,6,False
26,Payroll Management System,medium,a4,3,3,antipattern,detect,28,4,13,4,0,0,21,False
26,Payroll Management System,medium,a4,3,3,refactored,detect,22,4,10,1,0,0,15,False
27,Human Resources System,medium,a4,3,3,antipattern,detect,24,3,14,3,0,0,20,False
27,Human Resources System,medium,a4,3,3,refactored,detect,18,3,11,0,0,0,14,False
28,Customer Relationship Management,medium,a4,3,3,antipattern,detect,27,4,12,3,0,0,19,False
28,Customer Relationship Management,medium,a4,3,3,refactored,detect,21,4,9,0,0,0,13,False
29,Inventory Management System,small,a4,1,1,antipattern,detect,11,2,6,1,0,0,9,False
29,Inventory Management System,small,a4,1,1,refactored,detect,9,2,5,0,0,0,7,False
30,Tax Filing System,medium,a4,3,3,antipattern,detect,29,3,13,3,1,0,20,False
30,Tax Filing System,medium,a4,3,3,refactored,detect,23,3,10,0,1,0,14,False
31,Credit Card Management System,small,a4,1,1,antipattern,detect,10,2,5,1,0,0,8,False
31,Credit Card Management System,small,a4,1,1,refactored,detect,8,2,4,0,0,0,6,False
32,Loan Approval System,medium,a4,3,3,antipattern,detect,30,4,13,4,0,0,21,False
32,Loan Approval System,medium,a4,3,3,refactored,detect,24,4,10,1,0,0,15,False
33,Real Estate Listing Platform,small,a4,1,1,antipattern,detect,10,2,6,1,0,0,9,False
33,Real Estate Listing Platform,small,a4,1,1,refactored,detect,8,2,5,0,0,0,7,False
34,News Publishing System,small,a4,1,1,antipattern,detect,13,3,6,1,0,0,10,False
34,News Publishing System,small,a4,1,1,refactored,detect,11,3,5,0,0,0,8,False
35,Event Ticketing System,small,a4,1,1,antipattern,detect,10,2,6,1,0,0,9,False
35,Event Ticketing System,small,a4,1,1,refactored,detect,8,2,5,0,0,0,7,False
36,Dating Application,small,a4,1,1,antipattern,detect,13,2,6,1,0,0,9,False
36,Dating Application,small,a4,1,1,refactored,detect,11,2,5,0,0,0,7,False
37,Digital Wallet System,medium,a4,3,3,antipattern,detect,24,3,13,3,0,0,19,False
37,Digital Wallet System,medium,a4,3,3,refactored,detect,18,3,10,0,0,0,13,False
38,Telemedicine System,medium,a4,3,3,antipattern,detect,25,4,13,3,0,0,20,False
38,Telemedicine System,medium,a4,3,3,refactored,detect,19,4,10,0,0,0,14,False
39,School Administration System,small,a4,1,1,antipattern,detect,11,3,5,1,0,0,9,False
39,School Administration System,small,a4,1,1,refactored,detect,9,3,4,0,0,0,7,False
