prompt_num,domain_display,size,antipattern_codes,antipattern_instance_counts,total_antipattern_instances,sample_type,task_mode,actors,use_cases,includes,extends,generalizations,total_parsed
1,Banking System,small,a4,1,1,refactored,detect,2,5,0,0,0,7
2,Restaurant Management System,medium,a4,3,3,refactored,detect,4,9,0,1,0,14
4,Hospital Management System,medium,a4,3,3,refactored,detect,5,10,0,0,0,15
5,Social Media Platform,small,a4,1,1,refactored,detect,2,4,0,0,0,6
6,Messaging Application,small,a4,1,1,refactored,detect,2,6,0,0,0,8
8,Flight Booking System,medium,a4,3,3,refactored,detect,4,9,1,2,0,16
13,Library Management System,medium,a4,3,3,refactored,detect,3,10,0,1,0,14
14,E-Learning Platform,small,a4,1,1,refactored,detect,2,5,0,0,0,7
17,Medical Clinic System,medium,a4,3,3,refactored,detect,4,10,1,0,0,15
18,Pharmacy Management System,medium,a4,3,3,refactored,detect,3,9,1,0,0,13
19,Car Rental System,medium,a4,3,3,refactored,detect,3,10,0,1,0,14
20,University Enrollment System,medium,a4,3,3,refactored,detect,4,11,0,0,0,15
21,Movie Ticket Booking,medium,a4,3,3,refactored,detect,3,12,0,1,0,16
23,Gym Membership System,medium,a4,3,3,refactored,detect,4,11,1,1,0,17
25,Insurance Management System,small,a4,1,1,refactored,detect,2,4,0,0,0,6
26,Payroll Management System,medium,a4,3,3,refactored,detect,4,10,1,0,0,15
27,Human Resources System,medium,a4,3,3,refactored,detect,3,11,0,0,0,14
29,Inventory Management System,small,a4,1,1,refactored,detect,2,5,0,0,0,7
30,Tax Filing System,medium,a4,3,3,refactored,detect,3,10,0,1,0,14
31,Credit Card Management System,small,a4,1,1,refactored,detect,2,4,0,0,0,6
34,News Publishing System,small,a4,1,1,refactored,detect,3,5,0,0,0,8
36,Dating Application,small,a4,1,1,refactored,detect,2,5,0,0,0,7
38,Telemedicine System,medium,a4,3,3,refactored,detect,4,10,0,0,0,14
40,Exam Management System,small,a4,1,1,refactored,detect,2,4,0,0,0,6
41,Courier Delivery System,medium,a4,3,3,refactored,detect,4,10,0,0,0,14
42,Cloud Storage Service,small,a4,1,1,refactored,detect,2,4,0,0,0,6
43,Weather Forecasting Service,small,a4,1,1,refactored,detect,3,6,0,1,0,10
44,Podcast Platform,medium,a4,3,3,refactored,detect,3,11,0,0,0,14
46,Expense Tracking System,small,a4,1,1,refactored,detect,2,5,0,0,0,7
47,Freelance Marketplace,medium,a4,3,3,refactored,detect,3,10,0,0,0,13
49,Supply Chain Management,medium,a4,3,3,refactored,detect,5,8,0,1,0,14
50,Employee Performance Review System,medium,a4,3,3,refactored,detect,3,10,0,1,0,14
